id,topic,content
79,6,"['商场', '物流', '特设', '餐厅', '维也纳', '顶楼', '回家', '市中心', '旅店', '商品', '中心', '层楼', '花园', '建筑', '概念']"
205,2,"['产业', '实体', '餐饮店', '物流', '商场', '宣告', '工作者', '供货商', '关门', '网课', '家庭', '线下']"
386,7,"['餐饮', '地铁', '铁路', '个股', '利空', '机场', '食品', '链接', '武商', '网页', '电影', '娱乐场所', '运输业', '码头', '出租车', '旅游业', '传统']"
548,7,"['态势', '民生', '商品', '用品', '高压', '监管部门', '持续保持', '秩序', '众志成城', '时期', '明码标价']"
552,6,"['医药', '节奏', '餐饮', '商贸', '生物', '财经', '电台', '合辑', '物流', '音频', '行情', '负面影响', '酒店', '乘用车', '阶段', '席卷全国']"
631,6,"['物资', '总体', '市场监管', '环节', '肺炎', '副局长', '领域', '秩序', '失序', '苗头', '传导', '机器设备']"
712,8,"['工具', '稿子', '公共交通', '消费主义', '全城', '房子', '租户', '流行病', '家人']"
1074,1,"['投诉量', '黑猫', '态度', '领域', '货运', '物流', '链接', '网页', '数据', '春节假期']"
1292,4,"['题材', '废物', '网红', '医疗', '科技类', '供水', '行情', '公司', '供气', '医药', '概念', '后备', '物流', '电商', '疫苗']"
1297,8,"['电话', '物流', '军寨', '网友', '商城', '冠状', '客服', '骑手', '魅力', '积极响应', '西安交大', '男士', '碑林', '街店', '意思', '无人']"
1427,4,"['徐州市', '复业', '维权', '监管局', '依法', '协会', '肺炎', '新冠', '经营者', '共克', '阶段', '秩序', '徐州']"
1459,3,"['苏宁', '孩子', '骑手', '面向全国', '服务平台', '物流', '日记', '母婴', '范围', '家庭', '满足用户', '环境']"
1615,4,"['政策', '劳动密集型', '宏观经济', '酒店', '航空', '物流', '经历', '本年度', '新冠', '宏观政策', '断崖', '个别', '不容', '线下']"
1717,3,"['公司', '物流', '中心', '数据', '基地', '上市公司', '法国', '电子', '建材', '美国公司', '日本公司', '台湾', '钢铁公司', '化学品', '装备', '地区']"
1739,7,"['美食', '栏杆', '茶水', '妻子', '茉莉花茶', '店里', '店主', '黄姓', '演唱会', '蜡烛', '欧亚非', '虎牙', '奇缘', '宇宙', '企鹅', '出租车', '好闻', '分店', '冰雪']"
1848,6,"['乘客', '钻石', '高龄', '老人', '日本', '关系', '公主', '期限', '浪费']"
1979,8,"['概念', '科技', '人工智能', '传感器', '视觉', '智能', '公司', '激光', '物流', '中国通', '机器', '天准', '苹果', '轨道交通', '部分', '创板', '区块', '军工']"
2075,6,"['食品', '物流', '财报', '商家', '季度', '社会', '小结', '意愿', '公司', '业绩', '产生', '大象', '生活用品', '运力', '幅度']"
2228,8,"['专属', '餐饮', '信贷', '产品', '机构', '金融', '肺炎', '着力', '新冠', '银行', '文化', '住宿', '提质', '商品', '物流', '服务业']"
2244,3,"['专属', '餐饮', '信贷', '产品', '机构', '金融', '着力', '银行', '文化', '住宿', '提质', '潜力', '商品', '物流', '服务业']"
2353,5,"['京东', '物资', '物流', '菜奶', '肉蛋', '人力', '供应链', '民生', '订单', '医疗机构', '运力', '医疗', '粮油', '米面', '产品', '义务']"
2572,8,"['物流', '快速增长', '死角', '契机', '肺炎', '电商', '便利性', '网络']"
2666,9,"['农民', '物流', '农村', '颜值', '危机', '趋势', '网红', '大哥', '卖货', '兄弟']"
2857,5,"['火车站', '车站', '德国', '乘客', '莱比锡', '数量', '国际', '清洁度', '商店', '欧洲', '代表', '链接', '轮椅', '过程', '购物中心', '火车', '程度', '新建', '建筑', '很漂亮']"
3146,9,"['乳制品', '数据', '销量', '物流', '机构', '证券', '原奶', '天猫', '去年同期', '电商', '国金', '门店']"
3402,5,"['毛细血管', '粮油', '果蔬', '产地', '财富', '消费量', '出品', '品类', '系统', '物流', '猪鸡', '肉禽', '产业链', '冷链']"
3527,2,"['颓势', '远路', '肺炎', '物流', '商品', '平常心', '前段时间', '世界', '伊朗', '老婆']"
3593,1,"['物流', '目标', '心愿', '所有人', '成本', '医护人员', '基础', '地区', '京东', '优势', '关键时期', '商家', '战役', '体验', '关键时刻']"
3609,4,"['邮轮', '靠港', '日本', '团体', '游轮', '国际', '港口', '次数', '数据', '经济损失', '乘客']"
