id,topic,content
219,0,"['地产', '保险', '科技', '白酒', '医药', '银行', '涨幅', '比较严重']"
246,2,"['身体', '哲学', '历史', '社会学', '医疗', '人类学', '景观', '形塑', '漫长', '经历', '缺席', '社会', '视角', '书单', '样子', '状态', '概念']"
364,0,"['企业家', '技术', '两口子', '医疗']"
374,0,"['面膜', '产品', '标识', '化妆品', '字号', '医疗', '医学', '法规', '规章', '规定', '护肤品', '药妆', '编号', '注册证', '美容', '条例', '国家药监局', '爱贴', '功能']"
376,0,"['面膜', '产品', '字号', '医疗', '标识', '化妆品', '医学', '法规', '规章', '规定', '护肤品', '药妆', '编号', '注册证', '美容', '条例', '国家药监局', '功能', '内容']"
407,0,"['面膜', '字号', '患者', '医疗', '概念', '美容', '皮肤', '澳洲', '军官', '无限极', '环境', '森林', '伊朗', '主办方', '无菌', '大火', '公告', '身份', '化妆品', '陷阱']"
416,0,"['面膜', '产品', '医疗', '字号', '标识', '化妆品', '医学', '法规', '规章', '规定', '护肤品', '药妆', '编号', '注册证', '美容', '国家药监局', '条例', '爱贴', '功能']"
441,0,"['面膜', '产品', '标识', '化妆品', '医疗', '医学', '字号', '财经', '法规', '规章', '规定', '护肤品', '药妆', '编号', '注册证', '美容', '条例', '国家药监局']"
442,0,"['面膜', '字号', '美容', '医疗', '公告', '化妆品', '陷阱', '明确提出', '概念', '国家药品监督管理局']"
451,0,"['面膜', '字号', '概念', '器械', '误导', '医疗', '医学', '护肤品', '成分', '名单', '皮肤', '医院', '公告', '创面', '功效', '暗示着', '标题', '关键', '陷阱']"
461,0,"['面膜', '字号', '美容', '医疗', '公告', '化妆品', '陷阱', '明确提出', '概念', '国家药品监督管理局']"
479,0,"['面膜', '字号', '概念', '美容', '医疗', '公告', '化妆品', '陷阱', '链接', '网页', '明确提出', '国家药品监督管理局']"
504,0,"['面膜', '产品', '医疗', '字号', '标识', '化妆品', '医学', '法规', '规章', '规定', '护肤品', '药妆', '编号', '注册证', '美容', '国家药监局', '条例', '爱贴', '功能']"
607,0,"['医药', '半导体', '总结', '价值', '汽车', '新能源', '芯片']"
664,0,"['面膜', '药妆', '字号', '产品', '药监局', '概念', '医疗器械', '护肤品', '医学', '医疗', '陷阱']"
677,0,"['面膜', '产品', '标识', '化妆品', '医疗', '字号', '医学', '法规', '规章', '规定', '护肤品', '药妆', '编号', '注册证', '美容', '条例', '国家药监局', '功能', '内容']"
703,0,"['面膜', '产品', '医疗', '标识', '化妆品', '字号', '医学', '法规', '规章', '规定', '护肤品', '药妆', '编号', '注册证', '美容', '国家药监局', '条例', '功能', '爱贴']"
709,0,"['面膜', '字号', '概念', '美容', '医疗', '公告', '化妆品', '陷阱', '链接', '网页', '明确提出', '国家药品监督管理局']"
826,0,"['面膜', '字号', '医疗', '概念', '类产品', '电商', '美容', '小央', '产品', '国家药监局']"
846,0,"['医疗', '面膜', '字号', '小央', '类产品', '电商', '概念', '美容', '产品', '国家药监局']"
857,2,"['银行', '医药', '制造业', '科技股', '登峰造极', '新股', '现金流', '企业', '新手', '地产', '进阶', '大关', '收益']"
892,0,"['老人', '女人', '医疗', '化妆', '趋势', '确定性', '总结', '男人', '小孩']"
1324,2,"['金融', '保险', '科技', '财神', '产品', '客户', '财运', '链接', '规模', '业界', '主会场', '医疗', '资产', '领域', '爆棚', '充分发挥']"
1356,0,"['技术', '电子', '电视', '电动', '百家公司', '公司', '趋势', '发布会', '专家', '记者', '汽车', '消费类', '医疗', '人工智能', '国际']"
1405,2,"['金融', '保险', '科技', '财神', '产品', '客户', '财运', '链接', '规模', '业界', '主会场', '医疗', '资产', '领域', '爆棚', '充分发挥']"
1476,2,"['金融', '保险', '科技', '财神', '产品', '客户', '财运', '链接', '规模', '业界', '主会场', '医疗', '资产', '领域', '爆棚', '充分发挥']"
1959,2,"['假手', '哈佛大学', '环则', '企业', '代表', '医疗', '产品', '首款', '赋思头', '肌肉', '神经', '手臂', '信号', '脑机', '接口技术', '量产', '动作', '智能']"
2099,1,"['核心', '女神', '资产', '思维', '医药', '钻石', '圆心', '产业', '企业']"
2181,2,"['公司', '空间', '收益', '行情', '概率', '共振', '白酒', '估值', '地产', '医药']"
2336,0,"['医院', '药店', '社康', '扫码', '无卡', '队伍', '电子', '买药', '眼见', '凭证', '诊间', '医疗']"
2409,0,"['激光', '换肤', '患者', '美容', '美术', '效果', '保养品', '医疗', '老化', '化学', '疗效显著']"
2426,0,"['医药', '公司', '独门', '独家', '品种', '食品饮料', '股票', '科技', '大盘', '宏观经济', '产业', '绝技', '大牛股', '降价', '总体', '生物医药']"
2729,0,"['学费', '大学', '数据', '负债', '中位数', '比例', '金砖', '指标', '教材费', '新房', '巴西', '宏观经济', '医疗', '俄罗斯', '房价', '贷款']"
2792,2,"['票务', '酒店', '住宿', '文化', '医疗', '交通', '家用电器', '美容', '网络', '汽车']"
2838,0,"['降低成本', '智能', '传统产业', '互联网', '医药', '时代', '市场营销', '医疗', '市场需求', '人工智能', '绿色', '提高效率', '数据', '利润']"
2929,2,"['飞机', '回国', '确保安全', '高质量', '良知', '食用', '制度', '医疗', '媒体', '发布公告', '人群', '风险', '漠视', '志愿者']"
3201,2,"['科技', '软件', '医药', '芯片']"
3519,0,"['效应', '理论', '特征', '背景', '机构', '数量', '午盘', '轮动', '盘面', '动作', '仓位', '医药']"
3552,0,"['服务行业', '股息', '转型', '科技股', '部分', '地产', '医疗', '银行', '边际', '服务业', '涨幅', '互联网', '龙头', '领域', '代表']"
3567,2,"['贷款', '财政', '规划', '医疗', '信用卡', '账单', '学生']"
3572,2,"['患者', '领域', '医疗', '人工智能', '创业', '公司', '医生', '护理', '计算机', '保险公司', '系统', '医院', '恶性', '良性', '细胞', '症状', '财务', '数据', '个性化', '应用程序']"
3620,0,"['医疗', '风水', '观点', '分析师', '港股', '券商', '熟料', '大师']"
3711,2,"['有色', '机械', '主线', '环境', '金融', '政策', '医药', '化工', '结构性', '空间', '产业链']"
3752,0,"['白酒', '高端', '医药', '龙头', '逻辑', '反观', '面子', '确定性', '榕树', '毛病', '华东']"
3924,1,"['口罩', '电商', '产品', '广东', '粉尘', '管理局', '广东省', '无货', '食用', '野味', '酒店', '景点', '整点', '密集', '地方']"
3929,1,"['口罩', '主力军']"
3949,1,['口罩']
3951,1,"['口罩', '跑腿', '电商', '线下', '订单', '记者', '市民', '单量', '旗下', '任务', '公司', '美团', '涨价', '医用', '部分', '京东']"
3959,0,"['哥们', '口罩', '坚守岗位']"
3964,2,"['结构', '白酒', '宏观', '这两块', '芯片', '实锤', '医药', '电子', '科技', '证明', '逻辑', '对冲']"
3971,1,"['药店', '老年间', '口罩', '药生尘']"
3994,1,"['中药', '观点', '抗病毒', '药物', '商品', '医疗', '奥司', '肺炎', '病例', '战胜', '免疫系统', '科学', '口罩', '市面上', '病毒灵', '专门', '事件']"
3996,0,"['科技股', '医药', '芯片', '科技', '新能源', '产业链', '热点', '成交量', '观点', '高点', '过度', '关卡', '内容', '波段', '突发事件', '集体', '券商', '概念']"
4004,0,"['利空', '实质', '医药', '肉类', '肺炎', '事态', '电影', '变异', '用具', '口罩', '肉制品', '局面', '电视剧']"
4070,1,"['口罩', '监管局', '湖北省', '商品价格', '医用', '经营者', '地区', '坐地', '客运', '部分', '商品', '涨价']"
4071,1,"['口罩', '体液', '环境', '浓度', '世纪', '区别', '医用', '记者', '技术人员', '核心', '工业', '标准', '医护人员', '部分', '同款', '外科']"
4072,1,"['口罩', '经营者', '监管局', '坐地', '频道', '湖北省', '涨价', '人民网', '医用']"
