id,topic,content
232,0,"['交通', '民警', '良药', '大家伙', '经济社会', '管理体制', '条件', '单排', '汽车', '压力', '路段', '商圈', '机动车', '硬件', '硬伤']"
466,1,"['交通', '年轻人', '错题', '资料', '存款', '年度', '比重', '额度']"
613,1,"['软件', '服务器', '方式', '部分', '屏蔽', '旅客', '抢票', '财经', '会员', '功能', '技术部', '净网', '渠道']"
812,1,"['软件', '服务器', '方式', '屏蔽', '旅客', '抢票', '财经', '会员', '功能', '技术部', '部分', '渠道']"
837,2,"['铁路', '软件', '旅客', '售票', '业务', '网站', '票务', '多花钱', '工作人员', '办理', '隐形', '财经', '买票', '花钱', '回家']"
850,2,"['隧道', '车辆', '新华社', '压力', '交通', '钻孔', '据介绍', '名下', '会展中心', '投入使用', '公司', '高速运行', '参会者', '企业家', '埃隆']"
877,2,"['铁路', '软件', '旅客', '售票', '业务', '网站', '票务', '多花钱', '工作人员', '办理', '隐形', '财经', '买票', '花钱', '回家']"
898,2,"['隧道', '车辆', '新华社', '压力', '交通', '钻孔', '据介绍', '名下', '会展中心', '投入使用', '公司', '高速运行', '参会者', '企业家', '埃隆']"
1013,1,"['软件', '财经', '网警', '服务器', '净网', '方式', '屏蔽', '旅客', '抢票', '会员', '功能', '技术部', '部分', '渠道']"
1102,1,"['软件', '财经', '网警', '服务器', '净网', '方式', '屏蔽', '旅客', '抢票', '会员', '功能', '技术部', '部分', '渠道']"
1140,1,"['软件', '财经', '陇南', '网警', '服务器', '净网', '方式', '屏蔽', '旅客', '抢票', '会员', '功能', '技术部', '部分', '渠道']"
1334,2,"['春运', '指南', '网站', '数据', '机票']"
1371,1,"['江夏', '回国', '老赖', '法院', '法官', '跨国', '电话', '湖北省', '机票', '柬埔寨', '执行员', '办案', '账号']"
1425,2,"['机票', '理由', '网站', '春运', '同学聚会', '数据', '指南']"
1730,1,"['阶层', '社会', '晒太阳', '度假村', '商场', '牛排馆', '无力', '食物', '精神', '室温', '无法', '差异', '岛屿', '太平洋', '机票', '法国', '纽约']"
1822,1,"['消费观', '花钱', '日子', '几块钱', '用花', '现实', '门票', '影视', '感觉', '方式', '演唱会', '会员', '聚会', '走路', '邮费', '女生', '小钱', '手机', '动用']"
1894,2,"['智能', '航空', '交通部', '企业', '科技', '公司', '交通', '有所', '交通部长', '飞机', '亮相', '政府', '策略']"
2067,1,"['软件', '服务器', '方式', '屏蔽', '旅客', '抢票', '财经', '会员', '功能', '技术部', '部分', '渠道']"
2082,2,"['技术', '汽车', '政府', '地方', '领域', '原则', '系统', '联邦', '地位', '机构', '计划', '创新者', '总统', '办公室', '交通', '合作伙伴', '非营利', '警告']"
2123,0,"['化妆品', '维权', '列车', '列车员', '济南', '客运段', '颈椎病', '皮肤病', '一事', '方法', '铁路', '药品', '旅客', '现象', '新闻', '责任人', '媒体报道']"
2160,0,"['化妆品', '列车', '官方', '维权', '列车员', '济南', '客运段', '颈椎病', '皮肤病', '一事', '方法', '铁路', '药品', '旅客', '新闻', '责任人', '媒体报道']"
2671,2,"['旅客', '经营者', '大厅', '房间', '不法', '协会', '温州', '客运', '道路', '小区', '东五区', '济南', '大政', '春运', '大幕', '驾驶员', '班车', '财经', '通铺', '厕所']"
2687,2,"['年轻人', '负债', '报告', '居家', '交通', '状况', '账单', '年度', '格局', '产品', '信贷', '穿衣', '妈妈', '机构']"
2812,2,"['大学', '交通']"
2815,0,"['中国人民解放军海军', '办法', '汽车', '新能源', '南昌', '驱逐舰', '首舰', '黄金', '铁路', '金价', '数据', '旅客', '涨幅', '协会', '国际', '世界', '补贴', '政策']"
2846,1,"['软件', '车票', '目的', '设法', '系统', '回家', '乘客', '漏洞', '火车票', '佣金', '无法', '售票', '套路', '旅客', '社会', '功能', '代价']"
2957,1,"['热门', '协议', '框架', '战略', '链接', '网页', '手机', '湖南', '语音', '地铁站', '实验室', '新潮', '空口', '商场', '中心', '脚步', '交通']"
3084,2,"['乐园', '资本', '工作人员', '体验', '动物', '记者', '门票', '探险家', '动物园', '商场', '入局', '管家', '全程', '财经']"
3106,2,"['酒店', '机票', '火车票', '下单']"
3146,2,"['酒店', '机票', '火车票', '下单']"
3177,2,"['酒店', '机票', '火车票', '下单']"
3203,2,"['酒店', '机票', '火车票', '下单']"
3217,2,"['酒店', '机票', '火车票', '下单']"
3235,2,"['酒店', '机票', '火车票', '下单']"
3254,2,"['酒店', '机票', '火车票', '下单']"
3287,2,"['酒店', '机票', '火车票', '下单']"
3429,2,"['酒店', '机票', '陷阱', '网警', '火车票', '下单']"
3464,2,"['酒店', '机票', '陷阱', '网护网', '火车票', '下单']"
3480,2,"['铁路', '财经', '旅客', '售票', '业务', '网站', '工作人员', '票务', '软件', '多花钱', '办理', '隐形', '行程', '花钱', '买票']"
3510,2,"['酒店', '机票', '陷阱', '网护网', '网警', '火车票', '下单']"
3512,2,"['酒店', '机票', '陷阱', '网护网', '网警', '火车票', '下单']"
3525,2,"['酒店', '机票', '火车票', '下单']"
3549,2,"['酒店', '机票', '陷阱', '网警', '火车票', '下单']"
3560,0,"['规范', '行程', '家政', '门票', '资质', '低价', '网络', '制度', '旅行社', '参团', '合同条款', '用工', '西安市', '协会', '食宿', '交通', '证照']"
3564,2,"['酒店', '机票', '陷阱', '网警', '火车票', '下单']"
3574,1,"['冠军', '资本', '欧元区', '总额', '日本', '世界', '春运', '局长', '国家统计局', '经济体', '旅客', '人网', '主动力']"
3586,1,"['餐厅', '服务区', '泡面', '牛肉面', '涞源', '店长', '有限公司', '旅客', '站位', '政治', '经理', '加州', '负责人', '所辖', '专题会议']"
3597,2,"['酒店', '机票', '火车票', '下单']"
3655,0,"['规范', '行程', '家政', '门票', '资质', '低价', '网络', '制度', '旅行社', '参团', '合同条款', '用工', '西安市', '协会', '食宿', '交通', '证照']"
3683,2,"['流量', '五位数', '酒店', '爬墙', '销量', '恶心', '对纶', '费用', '交通', '时期', '规矩', '私生', '真人', '纶圈', '内娱']"
3726,0,"['显示屏', '电子', '收费', '南京', '起诉书', '原告', '江苏', '被告', '交通', '科技股份', '有限公司', '栖霞区', '人民法院', '法院', '律师', '时能', '收费站', '状告', '收费口']"
3733,0,"['乘飞机', '护照', '老赖', '高铁', '钻空', '文化', '思想', '中心', '身份证', '分组讨论', '会议', '上海市政协', '研究员', '上海社科院', '人员', '规定', '机票', '车票']"
3789,1,"['关光', '惨业', '嘉义市', '游客', '东南亚', '观光', '营收', '业界', '业者', '理事长', '旅馆', '同业公会', '产业', '政策', '消费力', '旅店', '饭店']"
3818,0,"['年货', '压力', '红包', '计划', '人情', '花费', '服饰', '交通', '年轻人', '中年人']"
3824,0,"['收费', '江苏', '律师', '金额', '交通', '消息', '有限公司', '科技股份', '南京', '系统', '电子', '全程', '过路费', '知情权', '屏幕']"
3891,0,"['金额', '消息', '江苏', '律师', '交通', '科技股份', '有限公司', '网友', '主力', '全程', '南京', '收费']"
4045,2,"['酒店', '机票', '火车票', '下单']"
4055,0,"['规范', '行程', '家政', '门票', '资质', '低价', '制度', '网络', '服务公司', '旅行社', '参团', '合同条款', '用工', '西安市', '协会', '财经', '食宿']"
4119,0,"['机票', '事务', '中心', '民航局', '旅客', '网友', '行程', '手续费', '航司', '收费', '特殊政策', '肺炎']"
4172,0,"['机票', '事务', '中心', '民航局', '特殊政策', '网友', '行程', '手续费', '收费', '旅客', '航司', '肺炎']"
4208,0,"['酒店', '旅行团', '无辜', '当铺', '新闻', '发布公告', '旅行社', '机票', '景点', '民航局', '冒险', '行程']"
4215,0,"['飞猪', '订单', '工作者', '商家', '机票', '政策', '用车', '肺炎', '公路', '边防', '公安', '公务员', '人员', '火车票', '汽车票', '航班时刻']"
4219,0,"['中消协', '航班', '维权', '机票', '时期', '办理', '漠视', '经营者', '央视网', '依法']"
4330,0,"['旅行团', '携程', '机票', '发布公告', '无辜', '酒店', '景点', '新闻', '旅行网', '文旅', '冒险', '民航局', '国家旅游局']"
4346,2,"['形式主义', '航空', '响应号召', '民航局', '事务', '中心', '退票费', '旅客', '走过场', '样子', '中国东方航空', '假装', '中国民航', '机票']"
4379,2,"['民航局', '航空公司', '中心', '事务', '海南', '部分', '航司', '手续费', '机票', '航空', '中国民航']"
4410,0,"['民航局', '退票费', '中心', '事务', '血汗钱', '旅客', '声明', '地发', '飞机票', '车票', '中国民航', '机票', '航空公司', '走过场', '航空', '中国东方航空']"
4414,2,"['航空', '机票', '民航局', '人民', '事务', '中心', '措辞', '群众', '全款', '退票费', '中国民航', '漏子', '飞猪', '新闻', '部分', '航空公司', '规定']"
4492,2,"['机票', '客服', '人工', '机器', '退票费', '手续费', '音乐', '规定', '灾难', '政策', '启程', '电话']"
4525,2,"['企业', '旅客', '无法', '春节假期', '航班', '外国', '开学', '中断', '门票', '形势', '销量', '异地', '宏观经济', '景区', '服务业', '就业人数']"
4535,2,"['途牛', '经济损失', '旅游网', '酒店', '规定', '公共卫生', '机票', '旅行社', '事件', '保险', '内容', '新闻', '业务', '无法', '双方']"
4689,2,"['电影', '餐饮行业', '交通']"
4745,2,"['内地', '民航局', '账户', '亚洲', '信用', '马来西亚', '机票', '事务', '中心']"
4825,2,"['航空', '手续费', '机票', '民航局', '中心', '公平', '事务', '春运', '退票费', '考虑一下', '群众', '定论']"
4879,1,"['市场供应', '日报', '粮食', '机制', '消费市场', '商务', '领导小组', '冻猪肉', '商务厅', '记者', '总体', '物资', '交通', '省政府']"
5042,0,"['火车票', '智行', '有限公司', '地址', '科技', '管理局', '企业', '机票', '上海市', '百度', '手续费', '教程']"
