id,topic,content
21,1,"['涨幅', '白酒', '创板', 'A股', '音箱', '耳机', '智能', '股指', '期货', '重大事件', '开板', '经历', '信息技术', '效应', '抱团', '入富']"
24,0,"['股票', '大盘', '盘子', '股市', '小盘', '消息', '股民', '意义', '长线', '牛市', '烂票', '业绩', '信心', '票会', '新股']"
42,2,"['A股', '资金', '扫货', '科技股', '个股', '创纪录', '收官', '证券报', '总额', '交易', '小幅', '大众']"
72,1,"['价值', '机遇', '服务者', '深度', '品质', '角色', '股份', '洋河', '空间', '广度', '社会', '定义']"
78,0,"['时代', '字诀', '对冲', '股市', '实力', '总结', '科技']"
88,2,"['流动性', '传导', '地产', '银行', '趋势', '路径', '逻辑', '产业', '链条', '毛刺', '电子', '商品', '股市', '尾声', '区别']"
102,1,"['教材', 'A股', '世界级', '基础设施', '解决问题', '财富', '关键', '消费市场', '课堂', '心愿', '意思']"
114,2,"['品种', 'A股', '核心', '代表', '本色', '资产', '理念', '白酒', '行情', '结构性', '钢铁', '龙头', '医药', '建筑', '海水', '估值', '老枪']"
119,0,"['产业链', '电子行业', '公司', '苹果', '链接', '网页', '结构性', '牛市', '业绩', '电子', 'A股', '策略', '快速增长']"
122,1,"['有限公司', '新春', '法院', '金城', '股份', '康源', '母亲', '大型商场', '食品', '虹盛', '华联', '电脑城', '现代农业', '甘肃省', '皋兰', '购物', '河畔']"
179,1,"['市值', 'A股', '公司', '科技', '消息', '金融股', '股市', '收官', '工程', '幅度', '金融', '电子', '装饰', '证券时报', '股行情', '银行', '股价', '数量', '科技股']"
245,2,"['A股', '特征', '资金', '龙头', '结构性', '牛市', '因由', '全貌', '科技', '关键']"
249,0,"['基金', '经理', '证券时报', '收益', '信达', '汽车', '新能源', '领域', '公司', '总经理', '总部', '结构性', '澳银', '中欧']"
254,2,"['科技', '选择性', '航锦', '进场', '领域', '题材', '股份', '海能', '赛道', '芯片', '感觉', '部分', '电商', '实业', '成绩', '公司', '阳线', '妖股', '走势', '股性']"
260,1,"['市值', '公司', 'A股', '金融股', '股市', '金融', '股行情', '证券时报', '科技', '幅度', '装饰', '电子', '银行', '股价', '数量', '建筑', '科技股']"
264,2,"['电商', '网红', '电声', '概念股', '股份', '引力', '链接', '数据', '网页', '中昌', '强势', '传媒', '渠道', '集团', '大商']"
270,2,"['汽车', '股份', '股权', '电子', '电池', '产业链', '时代', '整车', '部分', '分支', '天齐', '局部', '性价比', '玻璃', '奥联', '精工', '金属', '零配件', '新能源']"
288,1,"['结构性', '妖股', '科技', '准备金率', '东方通信', '医药', '个股', '关键', '盘面', '收官']"
290,2,"['目标', '科技', '博格', '赛道', '医药', '核心', '主题', '两翼', '基金', '望京', '军工', '费率']"
320,0,"['风险', '政策', '溢价', '资本', '边际', '概率', '历史', '股市', '周期性', '细分', '标的', '券商', '估值', '过程', '周刊', '科技']"
323,2,"['券商', '首席', '经济学家', 'A股', '科技', '大方向', '记者', '开源', '把握住']"
324,1,"['半导体', '电子', '产业', '光学', '示器', '耳机', '焦点', '面板', '汽车', '国产品牌', '股市', '智能', '景气', '产业链', '电脑', '股票', '手表']"
341,2,"['资金量', '企业', '首席', '科技', '行情', '攻势', '经济学家', '大方向', '开源', '催化剂', '态势', '券商', '基金', '成本']"
346,1,"['股民', '牛市', 'A股', '即将来临', '股市', '股票', '心愿', '风格', '熊市']"
359,0,"['内容', '证券', '布局', '领域', '东吴', '网页', '电商', '引力', '传媒', '芒果', '确定性', '机构', '代表', '链接', '股份']"
462,0,"['人物', '财经', '国潮', '加华', '资本', '有限公司', '联社', '老板', '消费市场', '财新网', '股份', '记者', '创富']"
477,2,"['收益', '中金公司', '核心', '景气', '风险', '趋势', '阶段性', 'A股', '结构', '资产', '观点', '程度', '年度', '证券日报', '主线']"
486,0,"['科技', '国际', '技术', '企业', '关系', '盛会', '电子产品', '合作伙伴', 'A股', '背光', '终端产品', '产品', '战略', '上市公司', '世界', '代表', '事项', '公司']"
584,1,"['汽车', '销量', '股市', '老枪', '协会']"
596,1,"['医药', '资金', '策略', '财经', '全景', 'A股', '市值', '电子', '贵州', '行情', '创业板', '茅台', '布局', '中小板', '加码']"
688,2,"['利润', '热点', '表面', '石油', '文章', '科技', '头条', '波拉', '大额', '主线', '事件', '小幅', '个股', '陷阱', '强势', '思路', '黄金']"
