,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,瓜菜,武汉市,海南,驰援,湖北省,活动,三亚,沙晓峰,仪式,青瓜,苦瓜,葫芦,交接,黄晓慧,运抵,茄子,辣椒,认可度,爱心,
1,瓜菜,海南,武汉市,驰援,湖北省,活动,三亚,仪式,青瓜,苦瓜,收起,葫芦,全文,交接,运抵,茄子,辣椒,认可度,爱心,
2,仁爱医院,法人代表,院长,质疑,遭到,苗圃,李小璐,物资,捐赠,规范,明星,工商,收起,处罚,全文,老赖,贾乃亮,林心如,老百姓,
3,瓜菜,湖北省,海南,武汉市,蔬菜,驰援,供应,瓜果,医疗,支援,防疫,交接,杨涛,毛鑫,青瓜,苦瓜,人员,全国,,
4,瓜菜,海南,武汉市,驰援,湖北省,活动,三亚,仪式,青瓜,苦瓜,收起,葫芦,全文,交接,运抵,茄子,辣椒,认可度,爱心,
5,知道,医院,法院,官司,查到,仁爱医院,病人,口罩,分到,林心如,收起,全文,限制,消费,法人,翻天,眼查,被告,东西,股东
6,外卖,守护,餐馆,延长,看到,推迟,压力,餐饮,面临,行业,消费,商家,营业,链接,小哥,生活,生命线,快速通道,开设,
7,口罩,假冒,警方,品牌,视频,查获,涉嫌,案件,南京,进价,收起,侦破,全文,购买,贩卖,现场,消费者,直播,防护用品,低质
8,回应,官方,警方,花园,捐赠,调查结果,辟谣,私信,口罩,女子,通报,最新进展,高价,库存,女士,收起,全文,打着,属于,政府
9,瓜菜,湖北省,海南,蔬菜,武汉市,供应,瓜果,医疗,支援,防疫,交接,人员,青瓜,苦瓜,全国,工作,驰援,组织,,
10,仁爱医院,法人代表,院长,苗圃,质疑,李小璐,遭到,物资,捐赠,明星,规范,莆田,工商,处罚,老赖,贾乃亮,林心如,限制,纠纷,
11,英国,问题,企业,增加,物流,视频,钱包,国际,准备,面对,导致,关税,遭殃,消费者,变慢,好了吗,现实,,,
12,仁爱医院,法人代表,限制,院长,规范,明星,质疑,视频,工商,收起,处罚,全文,遭到,物资,捐赠,消费,贾乃亮,查询,李小璐,
13,瓜菜,武汉市,海南,驰援,打赢,活动,三亚,湖北省,仪式,青瓜,苦瓜,疫情,收起,全文,葫芦,商务局,交接,运抵,茄子,
14,携手,全民,重庆,报菜名,发布,消费,疫情,,,,,,,,,,,,,
15,疫情,经济,增长,财政政策,改变,拖累,趋势,水平,冲击,消费,形成,彭文生,投资,力度,判断,影响,观点,,,
16,口罩,市民,场合,盲目,消费,需要,防控,需戴,切忌,流行病学,学院,四川,肺炎,四川大学,专家,栾荣生,华西,教授,公共卫生,浪费
17,瓜菜,海南,武汉市,驰援,湖北省,活动,三亚,仪式,青瓜,苦瓜,收起,葫芦,交接,全文,运抵,茄子,辣椒,爱心,认可度,
18,资格,口罩,记者,代言,林心如,法人代表,得到,涉及,消费,限制,陈丽香,执行,失信,艺人,广告,收起,全文,贾乃亮,李小璐,
19,双黄连,口罩,肃杀,经济,时期,需求,收起,全文,得病,透出,氛围,减少,部分,消费,缓解,拉动,刺激,内需,,
20,疫情,未改,股份,啤酒,板块,泸州,行业,有所,老窖,冲击,食品饮料,宣泄,继续,五粮液,茅台,贵州,行业龙头,看好,趋势,集中度
21,瓜菜,驰援,运抵,青瓜,苦瓜,葫芦,爱心,茄子,海南,收起,辣椒,嫌多,全文,武汉市,认可度,三亚,无偿,意义,,
22,仁爱医院,法人代表,院长,质疑,遭到,苗圃,李小璐,物资,捐赠,规范,明星,工商,处罚,老赖,贾乃亮,林心如,老百姓,限制,偏见,
23,投放,储备,冻猪肉,主城区,重庆,政府,市场,猪肉,消息,增加,继续,主城,收起,全文,保供,工作,防控,疫情,重庆市,商务
24,指数,综艺,品牌,韩国,宋智孝,电视,评价,收起,全文,参与,媒体,进行,新闻,数据,调查,加入,沟通,评估,排名,
25,进口,物资,防控,免税,免征,疫情,捐赠,进口关税,网页,用于,链接,手续,范围,环节,收起,全文,相关,征收,消费税,税务总局
26,口罩,假冒,警方,查获,品牌,视频,南京,涉嫌,案件,收起,全文,购买,毛钱,进价,贩卖,侦破,直播,现场,消费者,防护用品
