id,topic,content
65,1,"['衣服', '款式', '律师', '网店', '粉丝', '公司', '名义', '质量']"
131,0,"['范围', '爬墙', '粉丝', '湖笔']"
345,0,"['粉圈', '群体', '价值', '粉丝', '资本', '战术', '势力', '数据', '圈子里', '成绩', '人脉', '套路', '有力', '圈内', '局势', '地位', '观众', '道理', '企业']"
465,1,"['职业', '素养', '距离', '护肤品', '坦言', '道理', '粉丝', '佣金', '商家', '动人', '信任', '电商', '亲人']"
567,0,"['性别', '年龄', '咖位', '颜值', '群体', '品性', '粉丝', '合作伙伴']"
670,0,"['粉丝', '挚友', '战火']"
680,1,"['人气', '粉丝', '榜首', '年度', '投票', '网络', '部分', '逝者', '生涯', '图文', '方法', '过度', '演艺', '男演员', '重力', '演员', '登顶', '角度', '大众']"
701,0,"['粉丝', '挚友', '战火']"
766,0,"['粉丝', '挚友', '战火']"
811,0,"['直播间', '电商', '客服', '官方', '粉丝', '坑害', '网友', '投稿', '误导', '质量']"
845,1,"['粉丝', '爱豆', '青春', '见面会', '限流', '通稿', '官方', '营业', '词条', '镜头', '站位', '公司', '工作人员']"
871,1,"['肉长', '艺人', '事情', '粉丝', '人心', '亏心事', '劳动成果']"
876,1,"['浪费', '机酒', '粉丝', '政策', '维权']"
894,0,"['标签', '粉丝', '螃蟹', '代言']"
937,1,"['闷声', '敬业精神', '恋情', '气球', '记忆', '人气', '粉丝', '大事', '网友', '声音']"
973,2,"['人气', '大赏', '角色', '粉丝', '电视剧', '艺人', '黏性', '男演员']"
1019,1,"['点点', '大道', '大学', '卤味', '研卤堂', '安利', '热点', '汉阳', '粉丝', '卤品']"
1165,2,"['学生证', '粉丝', '大学', '研卤堂', '卤味', '安利', '天地', '网视', '爆料', '心窝窝', '卤品']"
1304,2,"['皮肤', '特点', '意见', '角色', '经典', '貂蝉', '官方', '玩家', '美感', '粉丝']"
1421,0,"['杂志', '艺人', '表现力', '时尚', '封面', '粉丝', '照片', '层面', '水准', '头想', '销量', '贡献', '演员', '结缘', '话题', '流量', '金主', '硬照']"
1457,2,"['种草', '大学', '网视', '卤味', '粉丝', '卤品']"
1512,2,"['种草', '大学', '网视', '卤味', '粉丝', '卤品']"
1517,2,"['种草', '大学', '网视', '卤味', '粉丝', '卤品']"
1536,0,"['好友', '哥哥', '肖像权', '素人', '弟弟', '粉丝', '大众', '建群', '挚友', '声明']"
1639,1,"['粉丝', '人情', '娱乐圈', '男色', '风格', '标签', '时代', '中性', '大众', '群体', '女性', '脑子', '情商', '数量']"
1843,1,"['年度', '时代', '凝聚力', '榜单', '影响力', '粉丝', '货力']"
1907,1,"['超前消费', '信用卡', '粉丝', '代言', '学生']"
2210,2,"['资料', '弟弟', '过度', '粉丝', '哥哥', '粉们', '兄弟', '泰国']"
2243,2,"['爱豆', '人气', '含泪', '官方', '背景', '漫威', '宇宙', '粉团', '轮流转', '新人', '背锅', '祭天', '公司', '动态', '祭品', '设叭', '气氛', '粉丝']"
2250,1,"['粉丝', '埃隆', '公司', '苹果', '创始人', '代表', '风潮', '席卷', '群体', '大胆', '量产', '电动车', '科学家', '精神', '汽车']"
2281,1,"['错误', '票房', '粉丝', '野鸡', '场次', '公司', '个别', '票务', '图频', '传媒']"
2309,2,"['美影', '粉丝', '状态', '来源', '图片', '葫芦兄弟', '聚集地']"
2447,0,"['艺人', '表情', '检方', '香饽饽', '媒体', '证据', '党派', '奇人', '粉丝', '案子', '有所', '大众', '实质性', '之争', '世间', '机灵', '做文章', '地位', '案件']"
2601,0,"['公主', '买单', '偶像', '优质', '粉丝', '全场']"
2612,2,"['节目', '姐妹', '儿子', '黄谣', '粉丝', '队友']"
2654,1,"['数据', '竞圈', '饭圈', '名字', '母狗', '枣子', '投票', '粉丝', '年度']"
2668,2,"['杠杆', '人力', '案例', '资金', '成本', '股票', '音乐', '跌幅', '涨幅', '书籍', '粉丝', '代理商', '期货', '期权', '典型']"
2676,1,"['点点', '卤味', '研卤堂', '安利', '热点', '爆料', '大学', '粉丝']"
2703,1,"['新闻', '事件', '粉丝', '律师函', '投稿', '程序', '法律', '证据', '网友', '主办方']"
2720,0,"['竞圈', '粉丝', '大伙', '传统']"
2724,1,"['新闻', '事件', '粉丝', '律师函', '投稿', '程序', '法律', '证据', '网友', '主办方']"
2800,1,"['粉丝', '云女', '艺人', '感情', '路人', '女儿', '节目', '衣服', '女用', '换回来', '公平', '合体', '感觉', '大户人家', '姐妹', '人影', '头发', '内伤', '世界']"
2872,1,"['荷拉', '夜景', '东京', '歌曲', '照片', '写真集', '作词', '背景', '粉丝']"
2912,1,"['粉丝', '女友']"
2921,1,"['游戏', '计划', '愿景', '战略', '基础', '索尼公司', '精彩', '地方', '粉丝']"
2980,1,"['数据', '竞圈', '饭圈', '名字', '母狗', '枣子', '投票', '粉丝', '年度']"
2994,0,"['洛杉矶', '粉丝', '阵容', '会议', '焦点', '游戏', '中心']"
2995,1,"['财务', '标准', '飞机', '私人', '粉丝']"
3173,2,"['排行榜', '粉丝', '偶像', '小鬼']"
3191,0,"['粉丝', '偶像', '产业', '排行榜']"
3243,2,"['粉丝', '偶像', '姐粉', '女明星', '年度', '排行榜']"
3350,1,"['网红', '粉丝', '铁粉', '凝聚力', '资讯', '抱团']"
3355,2,"['粉丝', '排行榜', '偶像']"
3375,2,"['粉丝', '排行榜', '偶像']"
3386,2,"['粉丝', '排行榜', '偶像']"
3392,2,"['粉丝', '排行榜', '偶像']"
3407,2,"['粉丝', '排行榜', '偶像']"
3412,2,"['粉丝', '爆料', '排行榜', '偶像']"
3416,0,"['百宝箱', '艺人', '排行榜', '链接', '网页', '粉丝', '爱豆', '单人', '面子']"
3436,2,"['粉丝', '排行榜', '偶像']"
3440,2,"['粉丝', '排行榜', '偶像']"
3445,2,"['粉丝', '排行榜', '偶像']"
3447,2,"['粉丝', '排行榜', '偶像']"
3452,2,"['粉丝', '排行榜', '偶像']"
